[18/04/10 00:00:09,552] [INFO] OnlinePlayerLog.execute --> 当前的时间戳-------：1523289609552 ----- timeDian:0
[18/04/10 00:00:12,956] [INFO] LLScheduleServiceImpl.scheduleOnce --> scheduleOnce delay:900000 scheduleEnum:老虎机竞赛等待时间 schedule:com.gameserver.slot.TournamentStartSng@3507f45d
[18/04/10 00:00:22,178] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:00:22
[18/04/10 00:00:22,178] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:00:22
[18/04/10 00:00:22,178] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:00:22
[18/04/10 00:00:22,179] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:01:22,291] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:01:22
[18/04/10 00:01:22,292] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:01:22
[18/04/10 00:01:22,292] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:01:22
[18/04/10 00:01:22,292] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:02:12,793] [INFO] LLScheduleServiceImpl.scheduleOnce --> scheduleOnce delay:1200000 scheduleEnum:老虎机竞赛等待时间 schedule:com.gameserver.slot.TournamentStartSng@75b4c29
[18/04/10 00:02:22,218] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:02:22
[18/04/10 00:02:22,218] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:02:22
[18/04/10 00:02:22,218] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:02:22
[18/04/10 00:02:22,218] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:03:12,928] [INFO] LLScheduleServiceImpl.scheduleOnce --> scheduleOnce delay:1200000 scheduleEnum:老虎机竞赛等待时间 schedule:com.gameserver.slot.TournamentStartSng@290090ed
[18/04/10 00:03:13,128] [INFO] LLScheduleServiceImpl.scheduleOnce --> scheduleOnce delay:1080000 scheduleEnum:老虎机竞赛等待时间 schedule:com.gameserver.slot.TournamentStartSng@236076c8
[18/04/10 00:03:22,163] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:03:22
[18/04/10 00:03:22,163] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:03:22
[18/04/10 00:03:22,163] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:03:22
[18/04/10 00:03:22,163] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:04:22,273] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:04:22
[18/04/10 00:04:22,274] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:04:22
[18/04/10 00:04:22,274] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:04:22
[18/04/10 00:04:22,274] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:05:22,234] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:05:22
[18/04/10 00:05:22,234] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:05:22
[18/04/10 00:05:22,234] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:05:22
[18/04/10 00:05:22,234] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:06:22,151] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:06:22
[18/04/10 00:06:22,152] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:06:22
[18/04/10 00:06:22,152] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:06:22
[18/04/10 00:06:22,152] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:07:22,278] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:07:22
[18/04/10 00:07:22,278] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:07:22
[18/04/10 00:07:22,278] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:07:22
[18/04/10 00:07:22,278] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:08:22,203] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:08:22
[18/04/10 00:08:22,204] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:08:22
[18/04/10 00:08:22,204] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:08:22
[18/04/10 00:08:22,204] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:09:22,305] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:09:22
[18/04/10 00:09:22,306] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:09:22
[18/04/10 00:09:22,306] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:09:22
[18/04/10 00:09:22,306] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:10:22,237] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:10:22
[18/04/10 00:10:22,238] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:10:22
[18/04/10 00:10:22,238] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:10:22
[18/04/10 00:10:22,238] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:11:12,935] [INFO] LLScheduleServiceImpl.scheduleOnce --> scheduleOnce delay:900000 scheduleEnum:老虎机竞赛等待时间 schedule:com.gameserver.slot.TournamentStartSng@294fcbe5
[18/04/10 00:11:22,144] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:11:22
[18/04/10 00:11:22,145] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:11:22
[18/04/10 00:11:22,145] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:11:22
[18/04/10 00:11:22,145] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:12:22,294] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:12:22
[18/04/10 00:12:22,295] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:12:22
[18/04/10 00:12:22,295] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:12:22
[18/04/10 00:12:22,295] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:13:22,210] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:13:22
[18/04/10 00:13:22,211] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:13:22
[18/04/10 00:13:22,211] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:13:22
[18/04/10 00:13:22,211] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:14:22,318] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:14:22
[18/04/10 00:14:22,319] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:14:22
[18/04/10 00:14:22,319] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:14:22
[18/04/10 00:14:22,319] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:15:12,809] [INFO] LLScheduleServiceImpl.scheduleOnce --> scheduleOnce delay:1080000 scheduleEnum:老虎机竞赛等待时间 schedule:com.gameserver.slot.TournamentStartSng@7428e0e1
[18/04/10 00:15:13,010] [INFO] LLScheduleServiceImpl.scheduleOnce --> scheduleOnce delay:1080000 scheduleEnum:老虎机竞赛等待时间 schedule:com.gameserver.slot.TournamentStartSng@59028171
[18/04/10 00:15:22,240] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:15:22
[18/04/10 00:15:22,240] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:15:22
[18/04/10 00:15:22,240] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:15:22
[18/04/10 00:15:22,240] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:16:22,337] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:16:22
[18/04/10 00:16:22,337] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:16:22
[18/04/10 00:16:22,338] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:16:22
[18/04/10 00:16:22,338] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:17:22,279] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:17:22
[18/04/10 00:17:22,279] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:17:22
[18/04/10 00:17:22,279] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:17:22
[18/04/10 00:17:22,279] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:18:22,185] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:18:22
[18/04/10 00:18:22,186] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:18:22
[18/04/10 00:18:22,186] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:18:22
[18/04/10 00:18:22,186] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:19:22,319] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:19:22
[18/04/10 00:19:22,320] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:19:22
[18/04/10 00:19:22,320] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:19:22
[18/04/10 00:19:22,320] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:20:22,274] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:20:22
[18/04/10 00:20:22,274] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:20:22
[18/04/10 00:20:22,275] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:20:22
[18/04/10 00:20:22,275] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:21:22,192] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:21:22
[18/04/10 00:21:22,193] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:21:22
[18/04/10 00:21:22,193] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:21:22
[18/04/10 00:21:22,193] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:22:12,891] [INFO] LLScheduleServiceImpl.scheduleOnce --> scheduleOnce delay:900000 scheduleEnum:老虎机竞赛等待时间 schedule:com.gameserver.slot.TournamentStartSng@79f46aaf
[18/04/10 00:22:22,329] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:22:22
[18/04/10 00:22:22,329] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:22:22
[18/04/10 00:22:22,329] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:22:22
[18/04/10 00:22:22,329] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:23:22,280] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:23:22
[18/04/10 00:23:22,281] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:23:22
[18/04/10 00:23:22,281] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:23:22
[18/04/10 00:23:22,281] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:24:22,215] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:24:22
[18/04/10 00:24:22,216] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:24:22
[18/04/10 00:24:22,216] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:24:22
[18/04/10 00:24:22,216] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:25:12,911] [INFO] LLScheduleServiceImpl.scheduleOnce --> scheduleOnce delay:1080000 scheduleEnum:老虎机竞赛等待时间 schedule:com.gameserver.slot.TournamentStartSng@2e339697
[18/04/10 00:25:22,148] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:25:22
[18/04/10 00:25:22,148] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:25:22
[18/04/10 00:25:22,149] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:25:22
[18/04/10 00:25:22,149] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:26:22,259] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:26:22
[18/04/10 00:26:22,259] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:26:22
[18/04/10 00:26:22,259] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:26:22
[18/04/10 00:26:22,259] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:27:12,957] [INFO] LLScheduleServiceImpl.scheduleOnce --> scheduleOnce delay:1200000 scheduleEnum:老虎机竞赛等待时间 schedule:com.gameserver.slot.TournamentStartSng@1daf4458
[18/04/10 00:27:22,190] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:27:22
[18/04/10 00:27:22,190] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:27:22
[18/04/10 00:27:22,190] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:27:22
[18/04/10 00:27:22,190] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:28:12,871] [INFO] LLScheduleServiceImpl.scheduleOnce --> scheduleOnce delay:900000 scheduleEnum:老虎机竞赛等待时间 schedule:com.gameserver.slot.TournamentStartSng@50eb4795
[18/04/10 00:28:22,292] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:28:22
[18/04/10 00:28:22,293] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:28:22
[18/04/10 00:28:22,293] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:28:22
[18/04/10 00:28:22,293] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:29:22,213] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:29:22
[18/04/10 00:29:22,213] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:29:22
[18/04/10 00:29:22,213] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:29:22
[18/04/10 00:29:22,213] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:30:22,328] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:30:22
[18/04/10 00:30:22,328] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:30:22
[18/04/10 00:30:22,329] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:30:22
[18/04/10 00:30:22,329] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:31:22,267] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:31:22
[18/04/10 00:31:22,268] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:31:22
[18/04/10 00:31:22,268] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:31:22
[18/04/10 00:31:22,268] [INFO] NoticeService.checkNotices --> 遍历所有公告
[18/04/10 00:32:22,194] [DEBUG] ScheduleHeartBeatServer.execute --> ======>start HeartBeatServer time is:2018-04-10 00:32:22
[18/04/10 00:32:22,195] [INFO] ScheduleLastNetTime.execute --> ======>start sendLastNetTime time is:2018-04-10 00:32:22
[18/04/10 00:32:22,195] [DEBUG] ScheduleNotice.execute --> ======>start notice time is:2018-04-10 00:32:22
[18/04/10 00:32:22,195] [INFO] NoticeService.checkNotices --> 遍历所有公告
