[18/04/09 18:06:02,659] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:06:15,990] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:06:43,660] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:08:20,826] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:09:50,100] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:12:43,723] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:14:26,403] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:20:45,373] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:22:37,308] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:24:06,408] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:24:53,071] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:28:34,275] --> 玩家id[6389056254552736770]玩家名[1692]玩家加载成功
=======[18/04/09 18:28:41,376] --> [玩家登陆加载] [成功] [初次登陆标识:true]
=======[18/04/09 18:28:41,377] --> 玩家id[6389056254552736770]玩家名[1692]首登成功
=======[18/04/09 18:28:41,377] --> 玩家id[6389056254552736770]玩家名[1692]登陆成功
=======[18/04/09 18:28:41,388] --> player 1692 checkAfterRoleLoad
=======[18/04/09 18:28:41,388] --> player 1692 onInit
=======[18/04/09 18:28:41,388] --> 玩家id[6389056254552736770]玩家名[1692]角色数据加载完成
=======[18/04/09 18:28:41,419] --> 玩家id[6389056254552736770]玩家名[1692]加载完成后的初始化工作完成
=======[18/04/09 18:28:41,497] --> 玩家id[6389056254552736770]玩家名[1692]初始消息发送成功
=======[18/04/09 18:28:41,833] --> 玩家[1692] 命名已存在的名字[55555666666]
=======[18/04/09 18:29:01,883] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:29:02,033] --> [玩家登陆加载] [成功] [初次登陆标识:true]
=======[18/04/09 18:29:02,034] --> 玩家id[6389050585346900994]玩家名[1691]首登成功
=======[18/04/09 18:29:02,034] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 18:29:02,036] --> player 1691 checkAfterRoleLoad
=======[18/04/09 18:29:02,037] --> player 1691 onInit
=======[18/04/09 18:29:02,037] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 18:29:02,059] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 18:29:02,076] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 18:31:37,456] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:31:37,602] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 18:31:37,602] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 18:31:37,604] --> player 1691 checkAfterRoleLoad
=======[18/04/09 18:31:37,605] --> player 1691 onInit
=======[18/04/09 18:31:37,605] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 18:31:37,626] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 18:31:37,640] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 18:33:45,592] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:33:45,739] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 18:33:45,739] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 18:33:45,749] --> player 1691 checkAfterRoleLoad
=======[18/04/09 18:33:45,749] --> player 1691 onInit
=======[18/04/09 18:33:45,749] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
